ngram,influence
instantly,0
eats,0
solve,0
jump,0.767468275
intimidation,0
necessary,2.347666889
wesley,0
position,0
intention,0
soul,0
ensure,0
calorie,0
cause,3.65018066
harassed,0
digit,0
auntie,-5.676116585
setup,0
control,9.300454306
skateboard,0
down,0
quite,-2.460265797
goliath,0
read,0
per,0
ust,0
discern,0
setting,0
boom,0
example,0
dot,10.78918295
excellent,0
government,0
some,0.875418763
two_thousand_and_three,0
gracious,0
dilaudid,0
worry,0
ill,0
mature,0
boat,0
proceed,0
athletic,0
cycle,0
prefer,0
predictability,0
technically,0
realize,0
thumb,0
TRUE,0
amazing,0
point_five,0
beginning,0
dilutes,0
point_one_two_one,0
four_,0
alive,0
size,0
little,0
comfort,0
nineteen_ninety_two,0
sensation,0
classic,0
count,0
cop,0
frigging,0
du,-0.562442907
jittery,0
ulterior,0
ben,0
fussy,0
data,0
redo,0
departure,0
level,0
one_forty_five,0
meth,5.782501348
satisfy,0
stress,17.55567835
afterwards,0
glad,0
bloomer,0
mess,0
intellectually,0
deserve,0
yo,0
amount,0
alter,0
electronics,0
errand,0
just,-4.512220779
assessments,0
due,0
frying,0
clean,-2.823272502
precise,0
fairly,0
passive,0
multiply,0
investigating,0
impossible,0
recorder,0
hur,0
rush,0
each,0
loved,0
now,-1.470414977
secure,0
righty,0
dialogue,0
methadone,17.81980239
pharmaceutical,0
phase,0
reality,0
sends,0
mandate,0
immense,0
favored,0
consolidate,0
ignite,0
shots,0
week,0
dehydrogenase,0
romp,0
buddhist,0
welc,0
chemist,0
territory,0
participate,0
gigantic,0
cue,0
cute,-12.04350131
carbs,0
metaphor,0
activity,-9.624663727
proactive,0
spending,0
remain,0
buzzed,0
cooperative,4.585003269
attorney,10.48628448
two_thousand_nine,0
unacceptable,0
oh_four,0
this,0.963355826
storm,0
imagined,0
dealer,0
stem,0
user,0
puke,0
appreciate,0
literary,0
diploma,0
twenty_fifth,0
loud,0
purely,0
dante,0
host,0
pot,0
unable,0
sched,0
acquire,0
ad,0
zero_six,0
alright,-1.217038878
result,0
frustrate,0
metro,0
temporarily,0
y,0
dessert,0
coordinator,0
grown,0
]|,-0.845616449
fight,0
chew,0
pill,0
frequent,0
serious,0
those,0
our,0
nineteen_seventies,0
interesting,0
ridiculously,0
managed,0
insight,25.19188455
church,0
transmit,0
com,0
myriad,0
game,0
climb,0
run,0
hall,0
coast,0
dad,-3.509895507
wreckage,0
shelf,0
illegal,0
ignorance,0
mix,0
two_thousand_and_four,0
risky,0
point_one_nine_nine,0
little_known,0
classroom,-26.28357784
successful,11.22712367
effectively,0
cup,0
linda,-33.24786948
ups,0
since,0
arise,0
the_bar_labs,0
wayside,0
waste,0
unsure,0
alternate,0
thus,0
weekend,0
valid,0
certificate,0
saturday,14.33909395
reunite,0
probationary,0
glide,0
manner,0
caitlyn,0
righ,0
bremerton,0
brother,0
trans,0
happens,0
establishment,0
truth,0
promise,0
description,0
unusual,0
honesty,0
spiritual,0
smear,0
awaken,0
onto,0
fund,0
confirm,0
yet,0
(,1.667811804
mon,0
p,0
motivate,0
revelation,0
me,-3.161711418
colada,0
autopsy,0
ten_thousand,0
severely,0
hypnotic,0
trek,0
manageable,0
point_two,0
peri,0
percentile,0
bulk,0
camera,0
concoction,0
pediatric,0
obvious,-4.944635349
bind,0
dizzy,0
imagine,0
joe_blow,0
doctor,-10.12628019
pronounced,0
leg,0
while,-2.595324574
interaction,15.27269259
premature,0
produce,0
event,-5.933258473
strength,0.889226429
detox,11.12743318
bill,0
thanks,0
con,0
history,0
burden,0
sixty,0
habit,0
navigate,0
attention,0
swear,0
closely,0
veracity,0
washington_state,0
embrace,0
enhances,0
scar,0
sit,6.542602888
cetera,0
one_sixty_,0
ideally,0
branch,0
huh,0
offer,4.353228805
familiar,0
nada,0
cabin,0
everything,0
quan,0
stuff,-0.461000957
applicable,0
loyal,0
sudden,2.712025362
ouch,0
generous,0
ready,0
exact,0
robert,0
sish,0
seem,0
message,0
their,0
yesterday,0
dosing,0
graph,0
difficulty,0
task,0
historically,0
point_zero_two,0
among,0
kill,0
stroke,0
sweatiness,0
ok,0
none,0
byproduct,0
wednesday,0
cash,0
crazy,0
outgoing,0
danger,0
interact,3.077533906
google,0
tired,0
uncommon,0
adapt,0
establish,0
kee,0
s_s_i,0
acquaintances,0
congratulation,-0.470185747
exist,0
letter,0
criticism,0
tide,0
remorse,0
soon,0
page,0
concerned,9.503752768
malaise,0
dehydration,0
toy,0
inconsolable,0
marijuana,0
encouraging,0
against,0
sky,0
string,0
delightful,0
world,0
intoxication,0
tunnel,0
fuzzies,0
public,0
hey,0
twenty_ninth,0
ho,0
mm,2.40003007
real_house,0
bear,0
sweet,0
rare,0
principle,0
stride,0
plan,3.458242767
perfect,0
misery,0
depends,0
inconsistent,0
his,1.839817984
shittiest,0
tend,0
toys_r_us,0
learning,0
estrogen,0
pop,0
appetite,0
inside,0
mission,0
empower,0
aren,0
spare,0
disappear,0
flinch,0
itself,0
tenth,0
by,-0.239055935
six_two,0
tackle,0
inhibit,0
ch,0
invest,0
bike,0
meeting,-19.99276075
purse,0
knowledgeable,0
punishment,0
dependable,0
j,0
agenda,0
lung,0
closeness,2.407110791
expectancy,0
pardon,0
roommate,0
happen,2.744021152
stage,0
delayed,0
assistant,0
nine,0
such,0
squirreling,0
abstain,0
mindset,0
ugly,0
haul,0
structured,0
three_zero,0
girlfriend,0
substance,0
steve,0
internally,0
method,0
forced,0
maximize,0
hadn,0
|(,-5.748935406
alley,0
quiz,0
classiest,0
appear,11.71602487
main,0
skill,0
attendance,0
mail,0
intelligence,0
excess,0
smirk,0
recognize,-0.514934389
word,0
intimidate,0
fade,0
wear,0
plausible,0
homeless,0
plain,0
homicide,0
flirtatious,0
adjustment,0
display,0
stumbling,0
harass,0
interest,0
smoking,7.194367392
definition,0
spur,0
',3.759641267
breathe,0
new_year,0
c_d,0
tangible,0
monica,0
strict,0
choose,-0.563349897
myself,5.499596218
painful,0
sh,1.509028939
experience,0
integrity,0
wild_ginger,0
swim,0
absolutely,-12.85134434
beverage,0
intend,0
amplify,0
merciful,0
recommendation,0.397763589
moderately,0
countertransference,0
motivator,0
skate,0
yours,0
session,0
preconceive,0
resident,0
advantage,0
riel_house,0
molecule,0
lately,0
code,0
news,0
scarier,0
beneficial,0
tiny,0
clue,0
tease,0
long_island_iced_tea,0
energetic,0
brag,0
legally,0
cater,0
residential,0
enjoyable,0
anal,0
switch,0
release,-11.2138276
developmental,0
lapse,0
two_point_five,0
internal,0
labeling,0
analyze,0
above,0
far,0
habituate,0
dadadada,0
wrap,0
spring,0
fare,0
breaking,0
mutual,0
easily,0
re,2.89526036
sobriety,0
perceive,0
goat,0
doctor_walsh,0
commu,0
quickly,0
clinic,0
hurt,14.28033067
coun,0
copout,0
payee,0
clinical,0
file,0
intensify,0
bridge,0
institution,0
brewing,0
shotgunning,0
with,3.132679816
providence,0
coupon,0
worker,0
progressive,0
combination,0
guess,0
tradition,0
intervention,0
nosy,0
straightforward,0
warm,0
|',0
latch,0
sixteen,0
reconcile,0
pick,0
external,0
thirtieth,0
highly,0
indeterminate,0
eleven_and_a_half,0
realm,0
lightly,0
o,0
merely,0
baseline,0
settle,0
shirk,0
non_alcoholic,0
either,0
medical,0
goodness,10.84896364
math_inclined,0
crash,0
perk,0
stimulant,0
physical,0
labor,0
tour,0
extremely,0
about,0
badly,0
chock,0
thirteenth,0
shaky,0
refuse,0
admirable,4.584928974
corner,0
threatening,0
c_t_p,0
t,-0.383288971
maybe,3.602309435
tipsy,0
oftentimes,0
abstinence,0
initially,0
hug,-10.88188959
health,-6.020712632
cigarettes,0
till,0
major,0
bounce,0
survive,0
thunderbird,0
complicated,0
initiative,0
clarify,0
ahold,0
your,0
last_house_on_the_block,0
placebo,0
carry,0
minor,0
relaxed,-1.335573462
rubber,0
pride,0
tacoma,0
triumph_treatment_services,0
*,-2.988037895
society,0
ours,0
november,0
financial,0
joy,0
spectrum,0
trip,0
sl,0
broaden,0
twist,0
twenty_four,0
recover,0
zone,0
dangerously,0
overwhelming,0
moderate,8.371892837
define,0
attach,0
catalyst,0
get,-1.152548752
started,0
oxycodone,0
point_one_seven,0
helpful,-0.813074846
entertainment,0
behind,0
significant,3.798479302
tailor,0
liquid,0
october,0
downhill,0
ano,0
alcoholic,0
car,0
strategy,0
schedule,0
rice,0
barbecue,0
point_oh_seven,0
sincere,0
eastern_washington,0
di,0
g_a_x,0
pam,0
lucky,0
fifty_eight,0
actual,0
monitor,-13.99966754
becomes,0
lifelong,0
predict,0
donor,0
coerce,0
walla_walla,0
eleven,2.255512369
luck,0
better,0
unhappy,0
two_digit,0
apply,0
coordinate,0
for,0
curious,0
temporary,0
adventure,0
stabilizing,0
scare,0
mad,0
directly,0
richard,0
testing,0
entry,0
tooth,0
associate,0
breathalyzer,0
left,0
fit,0
brittany,-1.865481631
craving,0
humor,0
table,0
insane,0
line,0
hurting,3.524950813
emergency,-0.914454847
c_ds,0
it,2.161449848
booze,-2.520666848
terrific,0
giant,0
conflict,5.653641494
somehow,-0.183447488
soften,0
but,0
phy,0
effect,-5.774634479
uneasy,0
juice,0
sober,-5.594813875
usu,0
candlelight,0
reactions,0
look,0
physician,0
flyer,0
worthwhile,0
burn,9.16344612
bet,0.979210544
sedatives,0
funky,0
accidentally,0
service,0
johnny,0
threaten,0
simply,0
scientifically,0
earth,0
type,-1.198209479
mask,0
discharge,0
opiate,0
brew,0
plunger,0
yellow,0
quantify,0
eating,0
surprising,0
most,0
normal,-3.412358566
anywhere,0
category,0
harborview,0
managing,0
arrangement,0
discuss,0
marcus,0
bye,0
math_oriented,0
impression,0
twenty_three,0
composition,0
fact,0
bud_light,0
overreacting,0
long_island,0
benefir,0
drastically,0
spiral,0
friendly,0
include,0
todd,0
lifetime,0
whiskey,0
obsessively,0
lifestyle,0
necessarily,0
diminish,0
valium,0
stopping,0
occasion,0
frightening,0
acid,0
warn,0
drinks,0
leave,-6.758518882
tip,0
side,-2.978006355
of,3.97609977
flag,0
brunch,0
enable,0
seriousness,0
ricky,0
operating,0
nonalcoholic,0
hazardous,0
grateful,0
impaired,0
workaholic,0
generic,0
bring,4.768034747
science,0
imitate,0
conservatively,0
because,-3.69367087
knew,0
mull,0
convince,0
load,0
hoping,0
amazed,0
ed_lynn,0
after,0
themselves,0.240234853
sound,6.417213389
tomorrow,0
four,0
*|,-3.778347809
schooling,0
concern,6.4004392
behavior,-12.81205832
negatively,0
bell,0
exacerbate,0
concept,0
psychiatry,0
a_hundred_and_forty_four,0
way,-1.013762643
blame,0
slap,0
geographical,0
compel,0
damage,0
night,0
connoisseur,0
crap,0
coop,0
assignment,0
supposedly,0
veteran,0
fellowship,0
bump,-2.059436618
tranquilizer,0
wise,0
barrier,0
apple,-37.49533859
variation,0
awkward,0
unlearned,0
closed,0
the,0.452391396
extra,0
gray,0
chime,0
medically,0
tissue,0
twenty_six,0
agitation,0
capable,0
abstinent,0
frankly,0
legitimate,0
show,0
criminal,0
lookalike,0
span,0
continue,0
rap,0
play,0
virtue,0
rape,0
disruption,0
s_hard_lemonade,0
oblivious,0
alienate,0
w_i_r_b,0
extracurricular,0
stead,0
deci,0
except,0
superstar,0
whi,0
drunk,0
soda,0
easier,0
one_point_two_five,0
shortcoming,0
lower_valley,0
anybody,0
actively,0
market,0
talkative,-1.403249821
forfeit,0
therapist,0
enjoy,0
foot,0
adamant,0
spoo,0
prescribed,0
pierce_county_court,0
time,-3.110272923
place,0
waive,0
challenge,-2.822230338
speech,0
building,0
tiwanya,0
anyways,0.20299073
zip,0
firm,0
learn,0
felt,0
descent,0
deceive,0
cannot,0
typify,0
addict,-6.117005782
flour,0
cont,0
slogan,0
youth,0
summarize,0
maria,0
)|[,0
asset,0
takeaway,0
runny,0
carpenter,0
bright,0
school,0
point_three_oh,0
improving,0
r,0
receptive,0
mother,0.713688584
belly,0
in_between,0
series,0
hap,0
check,0
once,0
snohomish_county,0
double,0
where,1.48124555
gun,0
changein,0
briefly,0
evening,0
brief,0
tony,0
counselors,0
anecdotally,0
frequency,0
af,0
candid_camera,0
related,0
rise,0
argument,0
snowboard,0
nine_eight_one_one_seven,0
congruently,0
forever,0
non,0
opiates,0
coma,0
dos,0
inclined,0
suggest,0
resolve,0
w,1.603232826
sou,0
secret,0
learner,0
situation,0
red,0
interview,-12.2408262
policy,0
diaper,0
tremendously,0
imp,0
bust,0
self,-0.254039737
shoplift,0
clumsy,0
stretch,0
honk,-2.059464495
shop,0
washington,0
aside,0
hungover,0
you,-0.076529406
olympia,0
samara,0
disease,-8.160970271
cook,-9.124100515
delay,0
paranoia,0
crisis,0
dorm,0
darvon,0
tremendous,0
dust,0
wild_,0
snapping,0
stairmaster,0
tendency,0
sits,0
wonder,1.454780339
her,1.546155368
detract,0
weird,0
smile,0
point_oh_six,0
contract,0
transportation,0
representative,0
disadvantaged,0
additional,0
behalf,0
prescribe,-4.406168659
ridiculous,0
simpler,0
personal,0
receive,0
not,0
canning,0
cautiously,0
grief,0
ingest,0
typically,0
happening,0
precontemplation,0
overview,0
acknowledgement,0
)|(,0
crystal,0
fresh,0
energy,21.33606936
parkway,0
atmosphere,0
rather,0
m,0
zero_eight,0
organize,0
anonymity,0
don,-0.342562183
attitude,0
recreation,0
condition,0
dec,0
several,0
up,0
comparison,0
truly,0
particular,0
int,0
positively,0
twenty_two,0
reckon,0
discovery,0
weekly,0
adhesive,0
provide,0
scared,0
thinking,-0.549004087
process,0
drama,-6.917456321
psychiatrist,0
statistic,0
ilments,0
gather,0
press,0
underage,0
migraine,0
section,0
three_oh_one,0
manipulating,0
erase,0
upwards,0
expense,0
thirteen,0
discontinue,0
isolated,0
mister,0
outlook,0
trick,0
sat,0
hopefully,0
flip,0
answer,0
and,0
parking,0
thoughtful,0
daddy,0
speaking,0
pour,0
live,-10.04451942
puppet,0
heavily,0
ei,0
academic,0
guard,0
on,0.178506773
eighteen,0
pregnant,0
firmly,0
near,0
fulltime,0
random,0
fatal,0
placement,0
friendship,0
spit,0
strain,0
drain,0
clever,0
state,0
worried,0
apparently,0
seriously,4.530409434
disappointed,0
baffling,0
endanger,0
forty_three,0
reservation,0
distinctive,0
fifty,0
sure,-5.262024059
questionnaire,0
impede,0
lis,0
frustration,0
finding,0
jeopardy,-6.647313377
lear,0
barbiturates,0
fall,0
cunning,0
truthful,0
feeding,0
heroin,0
indulging,0
stable,6.531297208
anyplace,0
beer,0
debrief,0
whatchamacallit,0
rece,0
addition,0
surprised,0
dysphoria,0
grieve,0
stupid,0
below,0
knuckle,0
first,-3.001104534
midnight,0
attend,0
misunderstanding,3.157610344
nudge,0
nine_thousand,0
cathy,0
famous,0
ecstasy,0
lakeside_milam,0
card,0
mark,0
union_gap,0
oh_six,0
many,-2.687046538
shoe,0
practice,0
prove,0
foreign,0
journey,0
drawn,0
shout,0
belong,0
disrupts,0
gold,0
complicate,0
reflex,0
louder,0
flushed,0
pendulum,0
away,0
harsh,0
triple,0
possession,0
graduate,0
confidence,0
reporting,0
organization,0
leader,0
childhood,0
trial,0
implication,0
e_d_u,0
advertised,0
closest,0
original,0
gram,0
dive,0
hereditary,0
disability,0
observe,0
unsafe,0
illustrate,0
format,0
counseling,0
review,0
enlist,0
twenty_first,0
esteem,0
fifty_four,0
definite,0
bed,0
one_and_a_quarter,0
de,0
favorably,0
pocket,0
manage,0
bored,0
contemplation,0
woebegone,0
interdepe,0
avenue,0
atkins,0
winter,0
investment,0
seat,0
customer,0
measure,0
thirty,0
cut,0
suggestion,0
ty,-18.65480367
invite,0
mindful,0
moderation,0
bartender,0
al,0
power,-7.749907039
knit,0
trainee,0
partner,0
serve,0
planner,0
in,-1.565629963
push,0
?,0
absorb,0
ounces,0
regulation,0
employee,0
perky,0
johnson,0
judicial,0
envision,0
ten,3.67136968
wit,0
complexity,0
moodiness,0
echo,0
there,-2.299643031
codependency,0
searing,0
fabricate,0
eighth,0
odds,0
reaction,0
affiliated,0
pamphlet,0
recent,0
blown,0
unwanted,0
under,0
eye_opening,0
anger,0
daughter,0
lynnwoo,0
|),0
realistic,0
anxiety,0
ordinarily,0
satellite,0
agency,0
bus,0
miserable,0
irrational,0
quieter,0
hesitant,0
threw,0
parenting,0
spiritually,0
necessity,0
espec,0
forty_nine,0
upper,0
theory,0
toasty,0
jail,1.068514287
wag,0
herself,0
football,0
responsibility,13.17495126
space,0
positive,0
authorize,0
describe,0
d_u_is,0
pregnancy,0
gosh,0
one_oh_one,0
full,0
g_e_d,0
loneliness,0
noticeably,0
pass,0
impress,0
why,0
reduce,0
tie,0
role,0
watch,-1.099635859
carrie,0
lard,0
chiropractor,0
amphetamine,0
phenomenal,0
room,0
eighteen_seventy_two,0
five_forty_five,0
airport,0
supervisor,0
kitsap_county,0
don_peterson,0
folk,-0.16846541
material,0
listing,0
triage,0
flirt,0
formal,0
pain,3.042993296
background,0
sex,0
hold,-3.84269632
decrease,0
verify,0
mandatory,0
discount,0
gasworks_park,0
gas,0
represent,0
prejudice,0
stewardess,0
obsession,0
revolve,0
freak,0
i,0.919836641
voucher,0
however,0
pose,0
hanging,0
powerful,0
gain,0
chase,0
booklet,0
potential,0
procedure,0
achievement,0
forge,0
drive,0
dream,0
admin,0
clarity,0
bunch,0
pigeonhole,0
swing,0
stool,0
hypothesis,0
fifty_eighth,0
function,0
confidentiality,0
call,0
coke,0
something,0
wait,0
alike,0
liver,0
sack,0
female,0
witness,0
lower,0
admission,0
track,0.138138206
deep,0
candy,0
depressive,0
encouragement,0
info,0
wakeup,0
possess,0
desk,0
perhaps,0
pulling,0
high,0
whatnot,0
fax,-7.494089613
sequence,0
mainly,0
confusion,0
memorable,0
test,0
sprinter,0
priority,0
rewind,0
solving,0
mistaken,0
mu,0
revolving,0
incentive,0
bipolar,0
nasty,0
die,-7.816927951
top,0
barb,0
join,0
gamut,0
stumble,0
indicator,0
chemistry,0
case,0
comp,0
breath,0
wasn,0
nowadays,0
one_eleven,0
stuck,0
postpartum,0
pleasant,0
pretend,0
bother,0
fence,0
perceived,0
whatsoever,0
revert,0
ta,0
coming,0
brownouts,0
gravel,0
safe,0
eighty,0
roof,0
approach,0
quote,0
coaster,4.28424777
socioeconomic,0
lecture,2.008873036
hybrid,0
isolation,0
changing,0
g_a_u,0
green,0
april,0
prompt,0
character,0
probation,-1.909958611
partial,0
fulfill,0
wish,0
clear,5.627499854
spouse,0
doubt,0
handle,0
wide,0
frustrating,0
truck,0
demonstrating,0
growth,0
rough,0
rachel,0
restlessness,0
yikes,0
devise,0
thirty_five,0
beat,0
dark,0
compassion,0
n,0
relief,0
protective,0
automatically,0
port_orchard,0
potty,0
education,5.315633808
compromise,0
martini,0
pipe,0
movie,0
treating,0
harm,0
strive,0
thank,0
longneck,0
resolute,0
driving,0
hear,0
sister,12.4003166
defocus,0
engagement,0
store,0
sick,0
class,0
catch,-5.507638273
lay,0
brake,0
score,-12.88285278
memory,0
lag,0
plot,0
wa,0
six_seven_eight_nine,0
degree,0
drool,0
whate,0
whoa,0
point_four_oh,0
sens,0
opportunity,0
feverish,0
sponsorships,0
motive,0
make,0
saw,12.26962563
wrist,0
mild,0
flexible,0
healthcare,0
standard,0
backtrack,0
attempt,0
stilted,0
passage,0
miss,0
police,0
socially,0
employment,0
financially,0
enough,0
return,0
album,0
fooled,0
wave,0
reasonable,0
tolerant,0
apartment,4.068617936
intent,0
thats,0
detail,0
shoulder,0
prevent,0
improve,0
center,-0.488652565
brush,0
cigarette,0
pr,0
snap,0
outline,0
gar,0
factor,0
hard_lemonades,0
discussion,0
sift,0
conversation,0
nowhere,0
benzodiazepine,0
sherry,0
send,0
satisfied,0
protection,0
shortly,0
ha,-0.444111587
one_nine,0
cultural,0
easy,0
chaotic,-1.112919619
population,0
street,0
badger,0
fuzzy,0
range,0
irritate,0
rainy,0
steve_martino,5.052404404
sedate,0
awakening,0
wake,0
cynthia,0
crashed,17.02630026
cuban,0
response,0
sixth,0
blood,-0.689101266
differ,0
readiness,0
recognizes,0
enormously,0
foundation,0
registered,0
fully,0
fuck,0
recollection,0
adatsa,0
hungry,0
zero_seven,0
network,0
everyone,0
from,4.228039274
conversion,0
say,-2.244278422
hour,0
terminology,0
equation,0
myth,0
potentially,0
exit,0
comparatively,0
research,0
water,0
awake,0
tom_walsh,0
truthfully,0
voluntary,0
increase,2.169065632
opt,0
advise,0
barely,0
one_four,0
desirable,0
undergraduates,0
designated,0
grandkids,0
ooh,0
abide,0
befor,0
babysitter,0
balance,0
poison,0
mixed,4.146228206
abuse,-2.390673608
someplace,0
enc,0
totter,0
motion,0
gang,0
ease,0
discover,0
minus,0
codeine,0
blah,11.14411712
socialize,0
dance,0
u_d_u_b,0
grant,0
stop,-2.176710474
anyhow,0
selection,0
without,0
august,0
reasoning,0
tho,0
always,2.734902071
fast,0
mouth,0
sand,0
jack,0
use,-2.299760144
legal,2.988147251
zero_one_two,0
investigate,0
seconal,0
instant,0
altogether,0
moreno,0
actually,0
ba,0
reinforce,0
noon,0
i_r_b,0
laboratory,0
announcement,0
moral,0
andrea,0
facilitate,0
worst,0
crime,0
decompress,0
consciousness,0
regenerate,0
quitting,0
shorter,0
six_thirty,0
reason,0
sexual,0
sponsorship,0
unclear,0
six_pack,0
stomach,0
camaraderie,0
nurture,0
lakeside,0
must,7.923897633
appointment,-3.950251188
vodka,0
mentality,0
passing,0
stigma,3.211803079
horrific,0
reduced,0
context,0
ordinary,0
fingerprint,0
require,0
argue,0
beautiful,-6.366595576
think,-3.286668957
desperately,0
exception,0
loan,13.11628885
new,0.858025175
ever,-6.050549073
victory,0
four_zero,0
body,-0.754798062
interactive,0
scoring,0
forgiven,0
allergy,0
videotape,0
one_five,0
heart,0
tug,0
person,-7.623992916
meat,0
email,0
put,0
deferred,0
fruity,0
air,0
hum,0
suspect,0
drinker,0
gregarious,0
socialization,0
mentioning,0
dog,13.4096395
relevant,0
employer,0
sooner,0
teeth,6.37899634
'|,0
translate,0
accessible,0
goal,0
ambivalence,0
a_hundred_and_fifty,0
inform,0
intimate,0
ceremonial,0
requirement,8.986522909
drunker,0
surprise,0
reluctant,0
stimulate,0
l,0
brand,-2.999534256
courthouse,0
wrong,0
deer,0
consequence,0
fail,0
break,2.425206271
guilt,0
belief,0
clergy,0
guesstimate,0
caffeine,0
sadness,0
light,0
visit,0
binge,0
a_hundred_and_twenty,0
usage,0
overdose,0
latino,0
three_twenty_five,0
kinda,9.422237496
settled,0
cling,0
frame,0
logistically,0
twelvish,0
hop,0
variable,0
consent,0
tricky,0
bum,0
generate,0
expert,0
el,0
abnor,0
flashback,0
prolong,0
wh,0
provider,-2.669839528
chore,0
blue_moon,0
cellies,0
draw,-2.904278051
speaker,0
teas,0
e,-7.552720322
schoolwork,0
respect,0
happier,0
december,0
dump,0
heaven,0
wrestle,0
i_m_a,0
sphere,0
fake,0
boyfriend,0
diary,0
consist,0
redmond,0
warranted,0
survival,-0.592640487
freshman,0
medicate,0
strongly,0
yes,12.35055717
wrack,0
bedroom,0
sufficient,0
equally,0
milk,0
fortified,0
makeover,0
chart,0
assist,0
harder,0
consider,1.185006694
important,2.4380467
apprehensive,0
move,0
fictional,0
sort,7.588859816
whose,0
abandon,0
rate,0
picture,0
mor,0
morphine,0
again,0
zero_four,0
region,0
depressed,0
infant,0
ibuprofen,0
cheat,0
guessing,0
private,0
within,0
mirror,0
percent,0
idea,8.220790411
basically,0
wannabe,0
dilemma,0
surface,0
adverse,0
adequate,0
item,0
throughout,0
neighborhood,0
c_p_t,0
reach,0
smoke,-0.323963942
affected,0
nobody,0
arrest,-3.64863481
ca,0
eat,-6.022857053
application,0
genuinely,0
retail,0
wasted,0
hi,0
mental,-1.726422828
brings,0
communication,0
inpatient,0
weather,0
faith,0
length,0
profile,0
block,0
bad,0
benefit,0
joint,0
squeeze,0
perfectly,0
toxic,0
nerve,0
importance,0
force,0
assessor,0
will,0
bud_lights,0
medium,0
duty,3.503539254
tolerate,0
inspiration,0
spotless,0
recovery,-8.275980849
oxycontin,0
today,0.666503689
monthly,-11.38215829
chemically,0
shell,0
awful,0
engage,0
vocabulary,0
turtle,0
pan,0
arou,0
mention,0
tha,0
c,0
visibly,0
or,0
rim,0
ammunition,0
consciously,0
music,0
council,0
likelihood,0
maximum,0
during,0
should,0
unreasonable,0
shut,0
neither,0
fine,0
interested,0
intoxicate,0
favor,0
burning,0
pawn,0
fluctuate,0
elongate,0
dinner,0
til,0
kitsap_recovery_center,0
powerlessness,0
interrupt,0
inhalant,0
let,-4.68333233
uncertain,0
have,2.21908313
less,0
colleges,0
rude,0
finally,0
hard,5.166788208
sorority,0
scenario,0
triumph,0
intended,0
x,0
encourage,0
somewhat,0
projecting,0
maturity,0
effort,0
aha,0
hou,0
over,0
notion,0
end,0
three,0
determination,-1.082277761
h,0
themself,0
chuckle,0
binoculars,0
proposition,0
twenty,0
guided,0
bottom,0
wring,0
drag,0
disappoint,0
footstep,0
grandfather,0
calculate,0
pong,0
aspect,0
plenty,0
pattern,0
lynnwood,0
poopooed,0
polk_county_fair,0
gag,0
allergic,0
ping,0
respectful,0
understanding,0
tear,3.360444832
wom,0
rationally,0
abnormal,0
along,0
gambling,0
pen,-2.247577141
doesn,5.698175236
college,0
counter,0
mom,9.192378193
devastate,0
shredding,0
critical,0
emotionally,0
solution,0
picky,0
indeed,0
possibility,0
cumulative,0
two_five,0
demand,0
hurtful,0
console,0
center_for_substance_abuse_treatment,0
low,0
bonus,0
betcha,0
disappears,0
wand,0
estimation,0
aunt_steve,0
ethyl,0
snowmobile,0
a_t_r,-1.041899571
b,0
adopt,0
med,0
brick,0
explanatory,0
consideration,0
al_anon,0
apart,0
past,0
criticizing,0
keep,0
stay,0
clearheaded,0
nope,0
scale,0
success,0
spot,0
hearted,0
samhsa,0
compass_health,-23.37006318
dude,0
topic,0
close,0
attribute,0
july,0
hone,0
lethal,0
res_twelve,0
enzyme,0
sassy,0
caution,0
spo,0
fading,0
disclose,0
win,-0.662016153
strong_families,0
lumber,0
radio,0
bathroom,0
a_hundred_proof,0
complete,0
haunt,0
real,9.451325813
operation,0
le,0
circle,0
boring,0
-,0.098900148
frustrash,0
opposite,0
kind,0
wall,0
baseball,0
recently,0
neon,0
nicer,0
affirm,0
blunts,0
equalizes,0
pleased,0
slip,0
attached,0
otherwise,0
indicate,0
out,2.218531289
denise,0
professional,0
resemble,0
elder,0
vision,0
unplug,0
subject,0
sexy,0
goldfish,0
describing,0
particularly,0
devil,0
menstruate,0
loser,0
headaches,0
responsible,0
brownout,0
damned,0
excitement,0
implement,0
four_hundredth,0
ou,0
destructive,0
fog,0
kil,0
cosmopolitan,0
par,0
health_board,0
yummy,-2.060385117
wood,0
assured,0
pay,-10.68226188
addicted,0
applause,0
taxi,0
sister_steve,0
other,0.935365398
sight,0
suddenly,0
prescription,0
list,0
view,0
might,10.50592844
informal,0
plus,0
k,0
shift,0
favorite,0
dependent,0
glance,0
every,0
toilet,0
mountlake_terrace,0
baffle,0
plaster,0
point,0
currently,0
enj,0
problematic,0
justify,0
please,0
pinpoint,0
emotional,-1.363151602
accomplish,11.39198204
rebound,0
injury,0
skid,0
depression,0
settlement,0
smirnof_ice,0
hygenist,0
heavier,0
birthday,6.70001939
trea,0
snapshot,0
surprisingly,0
closer,2.802115835
choice,0
yakima,0
saturate,0
moving,0
smarter,0
embarrass,0
packet,0
contact,2.671061817
advice,2.820270487
digest,0
law,-4.012561944
katherine,0
manual,0
flirty,0
daycare,0
nausea,0
fat,0
similar,0
cassette,0
s,1.0074363
resource,0
boy,-8.651712371
justified,0
ache,0
standpoint,0
unsettle,0
intoxicated,0
reward,0
crop,0
flow,0
edmonds,0
clip,0
disciplinary,0
repeat,0
occasionally,0
unattended,0
